10/jun/2016,Honda,26.7,26.7,26.29,26.4,587800,26.4
10/jun/2016,Int,1482.3,1505,1476.3,1487.7,1435300,1487.7
10/jun/2016,SBI,209.35,211.5,205.3,205.95,25598200,205.95
13/Jun/2016,Ebay,24.02,24.13,23.84,23.89,8620900,23.89
13/Jun/2016,Facebook,115,115.48,113.31,113.95,31651300,113.95
13/Jun/2016,GLF,3.76,3.94,3.63,3.79,231100,3.79
13/Jun/2016,YesBank,1057.95,1071.75,1052.4,1065.15,2697600,1065.15
13/Jun/2016,TCS,2540,2553.35,2518,2547,514900,2547
13/Jun/2016,Ford,13.26,13.3,13.14,13.26,19850800,13.26
13/Jun/2016,Gail,365.45,376.2,364.05,371.45,1541700,371.45
13/Jun/2016,Maruti,4093.9,4149.8,4065,4135.5,42200,4100.79
13/Jun/2016,Volkswagen,130.81,130.94,127.5,128.72,1500,128.61
13/Jun/2016,Apollo,1351.25,1353.45,1313.1,1318.7,219700,1318.7
13/Jun/2016,RelianceCom,49.3,49.35,47,49.5,18783100,47.85
13/jun/2016,Apple,98.69,99.12,97.1,97.34,38020500,97.34
13/jun/2016,Honda,26.08,26.25,25.91,25.93,526300,25.93
13/jun/2016,Int,1470,1473.9,1455.3,1466.15,1472900,1466.15
13/jun/2016,SBI,201.5,202.6,200.2,201.8,21192500,201.8
14/Jun/2016,Ebay,23.79,24.01,23.63,23.88,9837200,23.88
14/Jun/2016,Facebook,114.07,114.95,113.58,114.94,17562800,114.94
14/Jun/2016,GLF,3.74,3.94,3.67,3.78,232100,3.78
14/Jun/2016,YesBank,1065.1,1071.7,1057.55,1064.6,1545700,1064.6
14/Jun/2016,TCS,2558.95,2558.95,2518.25,2534.85,488700,2534.85
14/Jun/2016,Ford,13.17,13.25,13.05,13.1,27323200,13.1
14/Jun/2016,Gail,376,378,370.85,373.1,1515800,373.1
14/Jun/2016,Maruti,4130.25,4156.15,4093.05,4104.55,107900,4070.1
14/Jun/2016,Volkswagen,127.61,128.65,126.2,127.65,2700,127.54
14/Jun/2016,Apollo,1320,1328,1309.35,1325.7,164100,1325.7
14/Jun/2016,RelianceCom,48.1,48.6,47.6,47.8,12886600,47.8
14/jun/2016,Apple,97.32,98.48,96.75,97.46,31931900,97.46
14/jun/2016,Honda,25.75,25.82,25.4,25.6,946500,25.6
14/jun/2016,Int,1468,1473.25,1455.1,1460.55,1126200,1460.55
14/jun/2016,SBI,204.35,208.6,203.8,207.7,23918900,207.7
15/Jun/2016,Ebay,23.99,24.08,23.79,23.96,9262500,23.96
15/Jun/2016,Facebook,115.3,115.44,114.07,114.6,19609000,114.6
15/Jun/2016,GLF,3.78,4.01,3.68,3.7,272100,3.7
15/Jun/2016,YesBank,1068.55,1073.45,1057.1,1070.9,1819100,1070.9
15/Jun/2016,TCS,2530,2564.9,2522,2556.85,635400,2556.85
15/Jun/2016,Ford,13.07,13.13,12.96,12.98,20448200,12.98
15/Jun/2016,Gail,375.15,379.5,373.65,377.25,1433900,377.25
15/Jun/2016,Maruti,4120,4215,4112.2,4207.1,46600,4171.79
15/Jun/2016,Volkswagen,128.5,129.75,127.1,129.25,800,129.14
15/Jun/2016,Apollo,1332,1337.3,1315,1322.35,239100,1322.35
15/Jun/2016,RelianceCom,48.05,48.35,47.65,47.8,11271200,47.8
15/jun/2016,Apple,97.82,98.41,97.03,97.14,29445200,97.14
15/jun/2016,Honda,26.08,26.27,26,26.04,801200,26.04
15/jun/2016,Int,1464,1517,1463.5,1513.8,1973700,1513.8
